id|name|gender
2347|Ruggero Deodato|2
2349|Jackie Chan|2
2350|Adam McKay|2
2356|Norman Taurog|2
2358|Taika Waititi|2
2359|Gabriele Salvatores|0
2360|Kevin Yagher|0
2366|Michael McCullers|2
2372|Jan Kounen|2
2373|Paolo Sorrentino|2
2374|Enzo Barboni|0
2375|Chris Carter|2
2376|Charles S. Dutton|2
2377|Tarsem Singh|2
2379|Charles Shyer|2
2381|Kenneth Johnson|2
2382|Danny Leiner|2
2387|Antony Hoffman|2
2388|Penelope Spheeris|0
2389|Stephen Surjik|2
2392|Matteo Garrone|2
2395|Ari Folman|2
2396|Peter Sehr|2
2400|Atom Egoyan|2
2401|Kornel Mundruczo|0
2404|Jean-Pierre Dardenne|2
2409|Brillante Mendoza|2
2410|Nuri Bilge Ceylan|2
2413|Mary Lambert|1
2414|Victor Salva|2
2415|Lexi Alexander|0
2418|Ruben Ostlund|2
2427|Kiyoshi Kurosawa|2
2429|James Toback|2
2431|Kelly Reichardt|0
2434|Glenn Ficarra|2
2438|Stephen T. Kay|2
2439|Sam Weisman|2
2441|Clive Barker|2
2442|John Bonito|2
2444|Jean-Francois Richet|0
2447|Prachya Pinkaew|2
2449|William Dear|2
2450|Michael Spierig|2
2453|Nicole Holofcener|1
